CC number long form,CC number short form,Name,VC_numeric,VC_printed,Status
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,24,24,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,26,26,Bracketed
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,30,30,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,64,64,Bracketed
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,65,65,Bracketed
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,88,88,Bracketed
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,227,H27,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,228,H28,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,234,H34,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,235,H35,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,240,H40,
M080.02,M80.2,Acaulon mediterraneum,1,1,
M080.02,M80.2,Acaulon mediterraneum,2,2,
M080.02,M80.2,Acaulon mediterraneum,3,3,Bracketed
M080.02,M80.2,Acaulon mediterraneum,5,5,Bracketed
M080.02,M80.2,Acaulon mediterraneum,11,11,
M080.02,M80.2,Acaulon mediterraneum,17,17,
M080.02,M80.2,Acaulon mediterraneum,45,45,
M080.02,M80.2,Acaulon mediterraneum,46,46,
M080.02,M80.2,Acaulon mediterraneum,57,57,
M080.01,M80.1,Acaulon muticum,1,1,
M080.01,M80.1,Acaulon muticum,2,2,
M080.01,M80.1,Acaulon muticum,3,3,
M080.01,M80.1,Acaulon muticum,4,4,
M080.01,M80.1,Acaulon muticum,5,5,
M080.01,M80.1,Acaulon muticum,6,6,
M080.01,M80.1,Acaulon muticum,7,7,
M080.01,M80.1,Acaulon muticum,8,8,
M080.01,M80.1,Acaulon muticum,9,9,
M080.01,M80.1,Acaulon muticum,10,10,
M080.01,M80.1,Acaulon muticum,11,11,
M080.01,M80.1,Acaulon muticum,12,12,
M080.01,M80.1,Acaulon muticum,13,13,
M080.01,M80.1,Acaulon muticum,14,14,
M080.01,M80.1,Acaulon muticum,15,15,
M080.01,M80.1,Acaulon muticum,16,16,
M080.01,M80.1,Acaulon muticum,17,17,Bracketed
M080.01,M80.1,Acaulon muticum,18,18,
M080.01,M80.1,Acaulon muticum,19,19,
M080.01,M80.1,Acaulon muticum,20,20,
M080.01,M80.1,Acaulon muticum,21,21,Bracketed
M080.01,M80.1,Acaulon muticum,22,22,
M080.01,M80.1,Acaulon muticum,23,23,
M080.01,M80.1,Acaulon muticum,24,24,Bracketed
M080.01,M80.1,Acaulon muticum,25,25,
M080.01,M80.1,Acaulon muticum,26,26,
M080.01,M80.1,Acaulon muticum,27,27,
M080.01,M80.1,Acaulon muticum,29,29,Bracketed
M080.01,M80.1,Acaulon muticum,30,30,Bracketed
M080.01,M80.1,Acaulon muticum,31,31,
M080.01,M80.1,Acaulon muticum,32,32,
M080.01,M80.1,Acaulon muticum,33,33,
M080.01,M80.1,Acaulon muticum,35,35,
M080.01,M80.1,Acaulon muticum,36,36,
M080.01,M80.1,Acaulon muticum,37,37,
M080.01,M80.1,Acaulon muticum,38,38,Bracketed
M080.01,M80.1,Acaulon muticum,39,39,Bracketed
M080.01,M80.1,Acaulon muticum,40,40,
M080.01,M80.1,Acaulon muticum,41,41,
M080.01,M80.1,Acaulon muticum,42,42,
M080.01,M80.1,Acaulon muticum,43,43,
M080.01,M80.1,Acaulon muticum,45,45,
M080.01,M80.1,Acaulon muticum,46,46,
M080.01,M80.1,Acaulon muticum,47,47,
M080.01,M80.1,Acaulon muticum,48,48,Bracketed
M080.01,M80.1,Acaulon muticum,50,50,
M080.01,M80.1,Acaulon muticum,52,52,
M080.01,M80.1,Acaulon muticum,54,54,Bracketed
M080.01,M80.1,Acaulon muticum,55,55,
M080.01,M80.1,Acaulon muticum,56,56,
M080.01,M80.1,Acaulon muticum,57,57,
M080.01,M80.1,Acaulon muticum,58,58,
M080.01,M80.1,Acaulon muticum,59,59,Bracketed
M080.01,M80.1,Acaulon muticum,60,60,Bracketed
M080.01,M80.1,Acaulon muticum,61,61,Bracketed
M080.01,M80.1,Acaulon muticum,62,62,Bracketed
M080.01,M80.1,Acaulon muticum,63,63,Bracketed
M080.01,M80.1,Acaulon muticum,64,64,Bracketed
M080.01,M80.1,Acaulon muticum,65,65,Bracketed
M080.01,M80.1,Acaulon muticum,66,66,Bracketed
M080.01,M80.1,Acaulon muticum,67,67,
M080.01,M80.1,Acaulon muticum,68,68,
M080.01,M80.1,Acaulon muticum,69,69,Bracketed
M080.01,M80.1,Acaulon muticum,71,71,Bracketed
M080.01,M80.1,Acaulon muticum,72,72,
M080.01,M80.1,Acaulon muticum,73,73,Bracketed
M080.01,M80.1,Acaulon muticum,81,81,
M080.01,M80.1,Acaulon muticum,83,83,Bracketed
M080.01,M80.1,Acaulon muticum,85,85,Bracketed
M080.01,M80.1,Acaulon muticum,87,87,
M080.01,M80.1,Acaulon muticum,88,88,
M080.01,M80.1,Acaulon muticum,89,89,
M080.01,M80.1,Acaulon muticum,90,90,
M080.01,M80.1,Acaulon muticum,91,91,Bracketed
M080.01,M80.1,Acaulon muticum,92,92,
M080.01,M80.1,Acaulon muticum,95,95,Bracketed
M080.01,M80.1,Acaulon muticum,106,106,
M080.01,M80.1,Acaulon muticum,201,H1,Bracketed
M080.01,M80.1,Acaulon muticum,204,H4,Bracketed
M080.01,M80.1,Acaulon muticum,221,H21,Bracketed
M080.01,M80.1,Acaulon muticum,234,H34,Bracketed
M080.01,M80.1,Acaulon muticum,239,H39,Bracketed
M080.01,M80.1,Acaulon muticum,240,H40,Bracketed
M080.01,M80.1,Acaulon muticum,300,C,
M080.03,M80.3,Acaulon triquetrum,3,3,Bracketed
M080.03,M80.3,Acaulon triquetrum,9,9,
M080.03,M80.3,Acaulon triquetrum,10,10,
M080.03,M80.3,Acaulon triquetrum,14,14,
M132.01,M132.1,Achrophyllum dentatum,1,1,Persisting Introduction
L050.01,L50.1,Acrobolbus wilsonii,97,97,
L050.01,L50.1,Acrobolbus wilsonii,98,98,
L050.01,L50.1,Acrobolbus wilsonii,101,101,
L050.01,L50.1,Acrobolbus wilsonii,103,103,
L050.01,L50.1,Acrobolbus wilsonii,104,104,
L050.01,L50.1,Acrobolbus wilsonii,105,105,
L050.01,L50.1,Acrobolbus wilsonii,108,108,
L050.01,L50.1,Acrobolbus wilsonii,110,110,
L050.01,L50.1,Acrobolbus wilsonii,201,H1,
L050.01,L50.1,Acrobolbus wilsonii,202,H2,
L050.01,L50.1,Acrobolbus wilsonii,203,H3,Bracketed
L050.01,L50.1,Acrobolbus wilsonii,216,H16,
L050.01,L50.1,Acrobolbus wilsonii,227,H27,
L050.01,L50.1,Acrobolbus wilsonii,235,H35,
L068.01,L68.1,Adelanthus lindenbergianus,102,102,
L068.01,L68.1,Adelanthus lindenbergianus,201,H1,
L068.01,L68.1,Adelanthus lindenbergianus,216,H16,
L068.01,L68.1,Adelanthus lindenbergianus,227,H27,
L068.01,L68.1,Adelanthus lindenbergianus,235,H35,
M076.03,M76.3,Aloina aloides,1,1,
M076.03,M76.3,Aloina aloides,2,2,
M076.03,M76.3,Aloina aloides,3,3,
M076.03,M76.3,Aloina aloides,4,4,
M076.03,M76.3,Aloina aloides,5,5,
M076.03,M76.3,Aloina aloides,6,6,
M076.03,M76.3,Aloina aloides,7,7,
M076.03,M76.3,Aloina aloides,8,8,
M076.03,M76.3,Aloina aloides,9,9,
M076.03,M76.3,Aloina aloides,10,10,
M076.03,M76.3,Aloina aloides,11,11,
M076.03,M76.3,Aloina aloides,12,12,
M076.03,M76.3,Aloina aloides,13,13,
M076.03,M76.3,Aloina aloides,14,14,
M076.03,M76.3,Aloina aloides,15,15,
M076.03,M76.3,Aloina aloides,16,16,
M076.03,M76.3,Aloina aloides,17,17,
M076.03,M76.3,Aloina aloides,18,18,
M076.03,M76.3,Aloina aloides,19,19,
M076.03,M76.3,Aloina aloides,20,20,
M076.03,M76.3,Aloina aloides,21,21,
M076.03,M76.3,Aloina aloides,22,22,
M076.03,M76.3,Aloina aloides,23,23,
M076.03,M76.3,Aloina aloides,24,24,
M076.03,M76.3,Aloina aloides,25,25,
M076.03,M76.3,Aloina aloides,26,26,
M076.03,M76.3,Aloina aloides,27,27,
M076.03,M76.3,Aloina aloides,28,28,
M076.03,M76.3,Aloina aloides,29,29,
M076.03,M76.3,Aloina aloides,30,30,Bracketed
M076.03,M76.3,Aloina aloides,31,31,
M076.03,M76.3,Aloina aloides,32,32,
M076.03,M76.3,Aloina aloides,33,33,
M076.03,M76.3,Aloina aloides,34,34,
M076.03,M76.3,Aloina aloides,35,35,
M076.03,M76.3,Aloina aloides,36,36,
M076.03,M76.3,Aloina aloides,37,37,
M076.03,M76.3,Aloina aloides,38,38,
M076.03,M76.3,Aloina aloides,39,39,
M076.03,M76.3,Aloina aloides,40,40,
M076.03,M76.3,Aloina aloides,41,41,
M076.03,M76.3,Aloina aloides,42,42,
M076.03,M76.3,Aloina aloides,43,43,
M076.03,M76.3,Aloina aloides,44,44,
M076.03,M76.3,Aloina aloides,45,45,
M076.03,M76.3,Aloina aloides,46,46,
M076.03,M76.3,Aloina aloides,47,47,
M076.03,M76.3,Aloina aloides,48,48,
M076.03,M76.3,Aloina aloides,49,49,
M076.03,M76.3,Aloina aloides,50,50,
M076.03,M76.3,Aloina aloides,51,51,
M076.03,M76.3,Aloina aloides,52,52,
M076.03,M76.3,Aloina aloides,53,53,
M076.03,M76.3,Aloina aloides,54,54,
M076.03,M76.3,Aloina aloides,55,55,
M076.03,M76.3,Aloina aloides,56,56,
M076.03,M76.3,Aloina aloides,57,57,
M076.03,M76.3,Aloina aloides,58,58,
M076.03,M76.3,Aloina aloides,59,59,
M076.03,M76.3,Aloina aloides,60,60,
M076.03,M76.3,Aloina aloides,61,61,
M076.03,M76.3,Aloina aloides,62,62,
M076.03,M76.3,Aloina aloides,63,63,
M076.03,M76.3,Aloina aloides,64,64,
M076.03,M76.3,Aloina aloides,65,65,
M076.03,M76.3,Aloina aloides,66,66,
M076.03,M76.3,Aloina aloides,67,67,
M076.03,M76.3,Aloina aloides,68,68,
M076.03,M76.3,Aloina aloides,69,69,
M076.03,M76.3,Aloina aloides,70,70,
M076.03,M76.3,Aloina aloides,71,71,Bracketed
M076.03,M76.3,Aloina aloides,72,72,Bracketed
M076.03,M76.3,Aloina aloides,75,75,
M076.03,M76.3,Aloina aloides,76,76,Bracketed
M076.03,M76.3,Aloina aloides,80,80,
M076.03,M76.3,Aloina aloides,81,81,
M076.03,M76.3,Aloina aloides,82,82,
M076.03,M76.3,Aloina aloides,83,83,
M076.03,M76.3,Aloina aloides,84,84,
M076.03,M76.3,Aloina aloides,85,85,
M076.03,M76.3,Aloina aloides,86,86,Bracketed
M076.03,M76.3,Aloina aloides,87,87,Bracketed
M076.03,M76.3,Aloina aloides,90,90,Bracketed
M076.03,M76.3,Aloina aloides,94,94,Bracketed
M076.03,M76.3,Aloina aloides,98,98,Bracketed
M076.03,M76.3,Aloina aloides,100,100,
M076.03,M76.3,Aloina aloides,101,101,
M076.03,M76.3,Aloina aloides,106,106,Bracketed
M076.03,M76.3,Aloina aloides,201,H1,Bracketed
M076.03,M76.3,Aloina aloides,202,H2,
M076.03,M76.3,Aloina aloides,203,H3,
M076.03,M76.3,Aloina aloides,204,H4,
M076.03,M76.3,Aloina aloides,205,H5,
M076.03,M76.3,Aloina aloides,206,H6,
M076.03,M76.3,Aloina aloides,207,H7,
M076.03,M76.3,Aloina aloides,208,H8,
M076.03,M76.3,Aloina aloides,209,H9,
M076.03,M76.3,Aloina aloides,210,H10,
M076.03,M76.3,Aloina aloides,211,H11,
M076.03,M76.3,Aloina aloides,212,H12,
M076.03,M76.3,Aloina aloides,213,H13,Bracketed
M076.03,M76.3,Aloina aloides,214,H14,Bracketed
M076.03,M76.3,Aloina aloides,215,H15,
M076.03,M76.3,Aloina aloides,217,H17,
M076.03,M76.3,Aloina aloides,218,H18,Bracketed
M076.03,M76.3,Aloina aloides,219,H19,
M076.03,M76.3,Aloina aloides,220,H20,
M076.03,M76.3,Aloina aloides,221,H21,
M076.03,M76.3,Aloina aloides,222,H22,
M076.03,M76.3,Aloina aloides,223,H23,
M076.03,M76.3,Aloina aloides,224,H24,
M076.03,M76.3,Aloina aloides,225,H25,
M076.03,M76.3,Aloina aloides,226,H26,
M076.03,M76.3,Aloina aloides,228,H28,
M076.03,M76.3,Aloina aloides,229,H29,
M076.03,M76.3,Aloina aloides,231,H31,
M076.03,M76.3,Aloina aloides,232,H32,Bracketed
M076.03,M76.3,Aloina aloides,233,H33,
M076.03,M76.3,Aloina aloides,235,H35,
M076.03,M76.3,Aloina aloides,236,H36,Bracketed
M076.03,M76.3,Aloina aloides,237,H37,
M076.03,M76.3,Aloina aloides,238,H38,
M076.03,M76.3,Aloina aloides,239,H39,
M076.03,M76.3,Aloina aloides,240,H40,
M076.03,M76.3,Aloina aloides,300,C,
M076.04,M76.4,Aloina ambigua,1,1,
M076.04,M76.4,Aloina ambigua,2,2,Bracketed
M076.04,M76.4,Aloina ambigua,3,3,
M076.04,M76.4,Aloina ambigua,5,5,Bracketed
M076.04,M76.4,Aloina ambigua,6,6,
M076.04,M76.4,Aloina ambigua,7,7,Bracketed
M076.04,M76.4,Aloina ambigua,8,8,
M076.04,M76.4,Aloina ambigua,9,9,
M076.04,M76.4,Aloina ambigua,11,11,Bracketed
M076.04,M76.4,Aloina ambigua,12,12,
M076.04,M76.4,Aloina ambigua,13,13,Bracketed
M076.04,M76.4,Aloina ambigua,14,14,
M076.04,M76.4,Aloina ambigua,15,15,
M076.04,M76.4,Aloina ambigua,17,17,
M076.04,M76.4,Aloina ambigua,18,18,
M076.04,M76.4,Aloina ambigua,19,19,
M076.04,M76.4,Aloina ambigua,20,20,
M076.04,M76.4,Aloina ambigua,21,21,
M076.04,M76.4,Aloina ambigua,22,22,
M076.04,M76.4,Aloina ambigua,23,23,Bracketed
M076.04,M76.4,Aloina ambigua,24,24,
M076.04,M76.4,Aloina ambigua,25,25,
M076.04,M76.4,Aloina ambigua,26,26,
M076.04,M76.4,Aloina ambigua,27,27,Bracketed
M076.04,M76.4,Aloina ambigua,28,28,
M076.04,M76.4,Aloina ambigua,29,29,
M076.04,M76.4,Aloina ambigua,30,30,
M076.04,M76.4,Aloina ambigua,31,31,
M076.04,M76.4,Aloina ambigua,32,32,
M076.04,M76.4,Aloina ambigua,33,33,Bracketed
M076.04,M76.4,Aloina ambigua,34,34,Bracketed
M076.04,M76.4,Aloina ambigua,35,35,
M076.04,M76.4,Aloina ambigua,36,36,Bracketed
M076.04,M76.4,Aloina ambigua,40,40,
M076.04,M76.4,Aloina ambigua,41,41,Bracketed
M076.04,M76.4,Aloina ambigua,44,44,
M076.04,M76.4,Aloina ambigua,45,45,
M076.04,M76.4,Aloina ambigua,46,46,
M076.04,M76.4,Aloina ambigua,48,48,
M076.04,M76.4,Aloina ambigua,49,49,
M076.04,M76.4,Aloina ambigua,50,50,
M076.04,M76.4,Aloina ambigua,52,52,Bracketed
M076.04,M76.4,Aloina ambigua,54,54,
M076.04,M76.4,Aloina ambigua,55,55,
M076.04,M76.4,Aloina ambigua,57,57,
M076.04,M76.4,Aloina ambigua,58,58,Bracketed
M076.04,M76.4,Aloina ambigua,59,59,
M076.04,M76.4,Aloina ambigua,60,60,Bracketed
M076.04,M76.4,Aloina ambigua,62,62,Bracketed
M076.04,M76.4,Aloina ambigua,63,63,
M076.04,M76.4,Aloina ambigua,64,64,
M076.04,M76.4,Aloina ambigua,66,66,
M076.04,M76.4,Aloina ambigua,68,68,Bracketed
M076.04,M76.4,Aloina ambigua,69,69,Bracketed
M076.04,M76.4,Aloina ambigua,202,H2,Bracketed
M076.04,M76.4,Aloina ambigua,205,H5,
M076.04,M76.4,Aloina ambigua,206,H6,Bracketed
M076.04,M76.4,Aloina ambigua,209,H9,
M076.04,M76.4,Aloina ambigua,220,H20,
M076.04,M76.4,Aloina ambigua,221,H21,Bracketed
M076.04,M76.4,Aloina ambigua,231,H31,Bracketed
M076.04,M76.4,Aloina ambigua,238,H38,Bracketed
M076.04,M76.4,Aloina ambigua,239,H39,Bracketed
M076.04,M76.4,Aloina ambigua,300,C,
M076.01,M76.1,Aloina brevirostris,9,9,
M076.01,M76.1,Aloina brevirostris,11,11,Bracketed
M076.01,M76.1,Aloina brevirostris,17,17,
M076.01,M76.1,Aloina brevirostris,19,19,Bracketed
M076.01,M76.1,Aloina brevirostris,20,20,
M076.01,M76.1,Aloina brevirostris,22,22,Bracketed
M076.01,M76.1,Aloina brevirostris,29,29,
M076.01,M76.1,Aloina brevirostris,54,54,
M076.01,M76.1,Aloina brevirostris,55,55,
M076.01,M76.1,Aloina brevirostris,57,57,Bracketed
M076.01,M76.1,Aloina brevirostris,58,58,
M076.01,M76.1,Aloina brevirostris,61,61,Bracketed
M076.01,M76.1,Aloina brevirostris,62,62,
M076.01,M76.1,Aloina brevirostris,63,63,
M076.01,M76.1,Aloina brevirostris,64,64,
M076.01,M76.1,Aloina brevirostris,65,65,
M076.01,M76.1,Aloina brevirostris,66,66,
M076.01,M76.1,Aloina brevirostris,84,84,
M076.02,M76.2,Aloina rigida,8,8,
M076.02,M76.2,Aloina rigida,11,11,Bracketed
M076.02,M76.2,Aloina rigida,13,13,Bracketed
M076.02,M76.2,Aloina rigida,14,14,
M076.02,M76.2,Aloina rigida,15,15,
M076.02,M76.2,Aloina rigida,16,16,Bracketed
M076.02,M76.2,Aloina rigida,17,17,Bracketed
M076.02,M76.2,Aloina rigida,20,20,
M076.02,M76.2,Aloina rigida,21,21,
M076.02,M76.2,Aloina rigida,22,22,Bracketed
M076.02,M76.2,Aloina rigida,23,23,Bracketed
M076.02,M76.2,Aloina rigida,24,24,
M076.02,M76.2,Aloina rigida,26,26,
M076.02,M76.2,Aloina rigida,28,28,
M076.02,M76.2,Aloina rigida,29,29,
M076.02,M76.2,Aloina rigida,32,32,
M076.02,M76.2,Aloina rigida,33,33,
M076.02,M76.2,Aloina rigida,34,34,Bracketed
M076.02,M76.2,Aloina rigida,35,35,Bracketed
M076.02,M76.2,Aloina rigida,37,37,Bracketed
M076.02,M76.2,Aloina rigida,43,43,
M076.02,M76.2,Aloina rigida,44,44,
M076.02,M76.2,Aloina rigida,45,45,
M076.02,M76.2,Aloina rigida,48,48,Bracketed
M076.02,M76.2,Aloina rigida,50,50,Bracketed
M076.02,M76.2,Aloina rigida,51,51,
M076.02,M76.2,Aloina rigida,53,53,
M076.02,M76.2,Aloina rigida,54,54,Bracketed
M076.02,M76.2,Aloina rigida,55,55,
M076.02,M76.2,Aloina rigida,57,57,Bracketed
M076.02,M76.2,Aloina rigida,58,58,Bracketed
M076.02,M76.2,Aloina rigida,59,59,Bracketed
M076.02,M76.2,Aloina rigida,61,61,
M076.02,M76.2,Aloina rigida,62,62,Bracketed
M076.02,M76.2,Aloina rigida,63,63,
M076.02,M76.2,Aloina rigida,64,64,Bracketed
M076.02,M76.2,Aloina rigida,65,65,
M076.02,M76.2,Aloina rigida,66,66,
M076.02,M76.2,Aloina rigida,67,67,
M076.02,M76.2,Aloina rigida,69,69,
M076.02,M76.2,Aloina rigida,77,77,Bracketed
M076.02,M76.2,Aloina rigida,82,82,Bracketed
M076.02,M76.2,Aloina rigida,83,83,
M076.02,M76.2,Aloina rigida,85,85,Bracketed
M076.02,M76.2,Aloina rigida,89,89,
M076.02,M76.2,Aloina rigida,94,94,
M076.02,M76.2,Aloina rigida,95,95,
M076.02,M76.2,Aloina rigida,96,96,Bracketed
M076.02,M76.2,Aloina rigida,99,99,Bracketed
M076.02,M76.2,Aloina rigida,106,106,Bracketed
M076.02,M76.2,Aloina rigida,219,H19,Bracketed
M076.02,M76.2,Aloina rigida,221,H21,Bracketed
M076.02,M76.2,Aloina rigida,238,H38,Bracketed
M076.02,M76.2,Aloina rigida,239,H39,Bracketed
M103.01,M103.1,Amblyodon dealbatus,4,4,Bracketed
M103.01,M103.1,Amblyodon dealbatus,26,26,Bracketed
M103.01,M103.1,Amblyodon dealbatus,27,27,Bracketed
M103.01,M103.1,Amblyodon dealbatus,37,37,Bracketed
M103.01,M103.1,Amblyodon dealbatus,38,38,Bracketed
M103.01,M103.1,Amblyodon dealbatus,41,41,
M103.01,M103.1,Amblyodon dealbatus,42,42,
M103.01,M103.1,Amblyodon dealbatus,44,44,
M103.01,M103.1,Amblyodon dealbatus,48,48,
M103.01,M103.1,Amblyodon dealbatus,52,52,
M103.01,M103.1,Amblyodon dealbatus,59,59,
M103.01,M103.1,Amblyodon dealbatus,60,60,Bracketed
M103.01,M103.1,Amblyodon dealbatus,62,62,Bracketed
M103.01,M103.1,Amblyodon dealbatus,63,63,Bracketed
M103.01,M103.1,Amblyodon dealbatus,64,64,
M103.01,M103.1,Amblyodon dealbatus,65,65,Bracketed
M103.01,M103.1,Amblyodon dealbatus,66,66,Bracketed
M103.01,M103.1,Amblyodon dealbatus,67,67,Bracketed
M103.01,M103.1,Amblyodon dealbatus,68,68,
M103.01,M103.1,Amblyodon dealbatus,69,69,
M103.01,M103.1,Amblyodon dealbatus,70,70,
M103.01,M103.1,Amblyodon dealbatus,74,74,Bracketed
M103.01,M103.1,Amblyodon dealbatus,75,75,Bracketed
M103.01,M103.1,Amblyodon dealbatus,80,80,
M103.01,M103.1,Amblyodon dealbatus,81,81,
M103.01,M103.1,Amblyodon dealbatus,82,82,
M103.01,M103.1,Amblyodon dealbatus,83,83,
M103.01,M103.1,Amblyodon dealbatus,85,85,Bracketed
M103.01,M103.1,Amblyodon dealbatus,86,86,Bracketed
M103.01,M103.1,Amblyodon dealbatus,87,87,Bracketed
M103.01,M103.1,Amblyodon dealbatus,88,88,
M103.01,M103.1,Amblyodon dealbatus,89,89,
M103.01,M103.1,Amblyodon dealbatus,90,90,
M103.01,M103.1,Amblyodon dealbatus,92,92,
M103.01,M103.1,Amblyodon dealbatus,94,94,
M103.01,M103.1,Amblyodon dealbatus,95,95,
M103.01,M103.1,Amblyodon dealbatus,96,96,Bracketed
M103.01,M103.1,Amblyodon dealbatus,104,104,
M103.01,M103.1,Amblyodon dealbatus,105,105,
M103.01,M103.1,Amblyodon dealbatus,106,106,Bracketed
M103.01,M103.1,Amblyodon dealbatus,108,108,
M103.01,M103.1,Amblyodon dealbatus,109,109,
M103.01,M103.1,Amblyodon dealbatus,110,110,
M103.01,M103.1,Amblyodon dealbatus,111,111,
M103.01,M103.1,Amblyodon dealbatus,112,112,
M103.01,M103.1,Amblyodon dealbatus,201,H1,
M103.01,M103.1,Amblyodon dealbatus,203,H3,
M103.01,M103.1,Amblyodon dealbatus,209,H9,
M103.01,M103.1,Amblyodon dealbatus,216,H16,
M103.01,M103.1,Amblyodon dealbatus,217,H17,Bracketed
M103.01,M103.1,Amblyodon dealbatus,221,H21,Bracketed
M103.01,M103.1,Amblyodon dealbatus,226,H26,Bracketed
M103.01,M103.1,Amblyodon dealbatus,227,H27,
M103.01,M103.1,Amblyodon dealbatus,228,H28,
M103.01,M103.1,Amblyodon dealbatus,229,H29,
M103.01,M103.1,Amblyodon dealbatus,231,H31,Bracketed
M103.01,M103.1,Amblyodon dealbatus,232,H32,Bracketed
M103.01,M103.1,Amblyodon dealbatus,233,H33,
M103.01,M103.1,Amblyodon dealbatus,234,H34,
M103.01,M103.1,Amblyodon dealbatus,235,H35,
M103.01,M103.1,Amblyodon dealbatus,238,H38,Bracketed
M103.01,M103.1,Amblyodon dealbatus,239,H39,
M103.01,M103.1,Amblyodon dealbatus,240,H40,
M153.01,M153.1,Amblystegium serpens,1,1,
M153.01,M153.1,Amblystegium serpens,2,2,
M153.01,M153.1,Amblystegium serpens,3,3,
M153.01,M153.1,Amblystegium serpens,4,4,
M153.01,M153.1,Amblystegium serpens,5,5,
M153.01,M153.1,Amblystegium serpens,6,6,
M153.01,M153.1,Amblystegium serpens,7,7,
M153.01,M153.1,Amblystegium serpens,8,8,
M153.01,M153.1,Amblystegium serpens,9,9,
M153.01,M153.1,Amblystegium serpens,10,10,
M153.01,M153.1,Amblystegium serpens,11,11,
M153.01,M153.1,Amblystegium serpens,12,12,
M153.01,M153.1,Amblystegium serpens,13,13,
